주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
405-2-000067,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 769-9,21,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48801961,126.5248727,2020-07-14
405-2-000068,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 755-1,34,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49063288,126.5247639,2020-07-14
405-2-000069,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 748-8,17,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48913439,126.5276407,2020-07-14
405-2-000070,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 664-6,28,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49048566,126.5267893,2020-07-14
405-2-000071,용담일동 무료 주차장,공영,노외,,제주특별자치도 제주시 용담일동 137-54,6,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.51044523,126.5168512,2020-07-14
405-2-000072,용담일동 무료 주차장,공영,노외,,제주특별자치도 제주시 용담일동 292-10,5,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.50997766,126.5154493,2020-07-14
405-2-000073,용담일동 무료 주차장,공영,노외,,제주특별자치도 제주시 용담일동 295-40,8,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.5106877,126.5160184,2020-07-14
405-2-000074,용담일동 무료 주차장,공영,노외,,제주특별자치도 제주시 용담일동 220-10,4,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.50948255,126.516265,2020-07-14
405-2-000075,용담일동 무료 주차장,공영,노외,,제주특별자치도 제주시 용담일동 220-16,5,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.50964287,126.5161008,2020-07-14
405-2-000076,연동 무료 주차장,공영,노외,,제주특별자치도 제주시 연동 299-13,33,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48318911,126.4950118,2020-07-14
405-2-000077,연동 무료 주차장,공영,노외,,제주특별자치도 제주시 연동 1458-2,26,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48116032,126.4905389,2020-07-14
405-2-000078,연동 국기로 제2 공영주차장,공영,노외,,제주특별자치도 제주시 연동 1499,28,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.47867251,126.490582,2020-07-14
405-2-000079,연동 무료 주차장,공영,노외,,제주특별자치도 제주시 연동 1504,18,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.47991747,126.4913888,2020-07-14
405-2-000080,연동 국기로 제1 공영주차장,공영,노외,,제주특별자치도 제주시 연동 1517,28,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.47837204,126.4903397,2020-07-14
405-2-000081,연동 연화로 공영주차장,공영,노외,,제주특별자치도 제주시 연동 1519-2,40,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.47781539,126.4897899,2020-07-14
405-2-000082,연동 무료 주차장,공영,노외,,제주특별자치도 제주시 연동 1957-1,4,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49158174,126.4823527,2020-07-14
405-2-000083,연동 무료 주차장,공영,노외,,제주특별자치도 제주시 연동 2305-7,38,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49356068,126.4871496,2020-07-14
405-2-000084,연동 무료 주차장,공영,노외,,제주특별자치도 제주시 연동 2303-11,7,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49337545,126.4852697,2020-07-14
405-2-000085,일도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 일도이동 82-8,49,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.5000217,126.5456647,2020-07-14
405-2-000086,일도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 일도이동 879,44,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.50481997,126.5343383,2020-07-14
405-2-000087,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 417-6,42,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49174014,126.4298943,2020-07-14
405-2-000088,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 440-7,50,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49059192,126.4282149,2020-07-14
405-2-000089,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 448-3,59,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49167477,126.4318538,2020-07-14
405-2-000090,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 453-1,43,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49127778,126.4339699,2020-07-14
405-2-000091,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 482-1,44,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48992583,126.4325739,2020-07-14
405-2-000092,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 493-1,39,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48863871,126.4284654,2020-07-14
405-2-000093,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 496-17,31,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48767628,126.4293543,2020-07-14
405-2-000094,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 497-16,11,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48782513,126.4297174,2020-07-14
405-2-000095,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 530-4,48,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48851619,126.4334775,2020-07-14
405-2-000096,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 542-18,23,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48687094,126.4291213,2020-07-14
405-2-000097,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 559-1,54,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48674205,126.4317597,2020-07-14
405-2-000098,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 632-7,51,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48568077,126.4284004,2020-07-14
